block_end_hr,feature_index,feature,importance,norm_importance
24,0,SignalSD,7.340977248304625e-08,1.375392271298863e-05
24,1,lv_l5,3.365729935467243e-05,0.006305970968088705
24,2,lv_l10,0.0001269704516744241,0.023788955068163423
24,3,lv_l20,0.0001630740298423916,0.03055325642734893
24,4,SIQ,0.00025939717306755483,0.048600187000481986
24,5,SIQ_delta,0.0006971218972466886,0.130611502691652
24,6,SIQ_theta,0.0005540549173019826,0.10380673108723623
24,7,SIQ_alpha,0.0002637832658365369,0.04942195743943151
24,8,SIQ_beta,0.00016319440328516066,0.03057580937871415
24,9,BCI,0.0002850574965123087,0.05340785896991825
24,10,BSAR,1.0672586086002411e-06,0.00019995965007042575
24,11,d0MaxAmp,1.2694076190200576e-07,2.378339244589399e-05
24,12,d0MeanMaxAmp,1.0592135879505804e-07,1.984523494958955e-05
24,13,d0VarMaxAmp,1.8873005380726227e-09,3.536012285398047e-07
24,14,d0VarMeanAmp,3.391096570215524e-10,6.353497437932625e-08
24,15,d0VarVarAmp,5.475580544533898e-10,1.025894905690604e-07
24,16,d0MeanVarAmp,6.73909927861871e-10,1.2626254992778433e-07
24,17,d0MaxMaxFourAmp,6.724848589101384e-08,1.2599555157647715e-05
24,18,d0MeanMaxFourAmp,1.9494345337989216e-07,3.652425420347627e-05
24,19,d0VarMaxFourAmp,3.2302893693270107e-10,6.052211963546578e-08
24,20,d1MaxAmp,1.1816182698964894e-08,2.2138587017368807e-06
24,21,d1MeanMaxAmp,3.8852574490988445e-09,7.279348357510587e-07
24,22,d1VarMaxAmp,2.336178472894801e-10,4.377021896827645e-08
24,23,d1VarMeanAmp,4.6003112430526016e-10,8.619060263025699e-08
24,24,d1VarVarAmp,5.599831709446335e-10,1.049174380090271e-07
24,25,d1MeanVarAmp,6.847173938950846e-10,1.2828741729239031e-07
24,26,d1MaxMaxFourAmp,3.2193752108611307e-09,6.031763392880909e-07
24,27,d1MeanMaxFourAmp,5.061363772540517e-09,9.482879975676245e-07
24,28,d1VarMaxFourAmp,3.642034729356425e-10,6.82365065184712e-08
24,29,d2MaxAmp,2.5110191259614112e-08,4.704600194379512e-06
24,30,d2MeanMaxAmp,1.5087929128299038e-08,2.826847218162957e-06
24,31,d2VarMaxAmp,6.680834219174869e-10,1.25170906271426e-07
24,32,d2VarMeanAmp,2.5582203022622707e-10,4.79303546789219e-08
24,33,d2VarVarAmp,9.99660687561743e-10,1.8729462537310867e-07
24,34,d2MeanVarAmp,1.9670460815746083e-09,3.6854220989599797e-07
24,35,d2MaxMaxFourAmp,1.7920324113518404e-09,3.357519639581517e-07
24,36,d2MeanMaxFourAmp,1.523015313864562e-08,2.8534940525022125e-06
24,37,d2VarMaxFourAmp,3.2804034488798095e-10,6.146104800111484e-08
24,38,linelengthmean,2.9354673358739092e-08,5.499838713358861e-06
24,39,kurtavg,2.0664067506004358e-06,0.0003871582458305554
24,40,shanavg,4.668409547825547e-10,8.746648019948518e-08
24,41,nlemean,5.8633153887655e-10,1.0985402075395608e-07
24,42,nleavgstd,1.674207161794783e-10,3.136764374821552e-08
24,43,deltakurtosis,2.9876669941586442e-05,0.005597639052660889
24,44,thetakurtosis,0.00019036044250242412,0.03566558954250025
24,45,alphakurtosis,0.00012422505824360996,0.023274583101231025
24,46,betakurtosis,0.00010988650319632143,0.020588137260769048
24,47,deltameanrat,0.00027050322387367487,0.05068099667019153
24,48,thetameanrat,6.50754154776223e-05,0.012192412600128249
24,49,alphameanrat,7.04145641066134e-05,0.01319274586792665
24,50,betameanrat,1.3655809198098723e-05,0.0025585278082335115
24,51,deltaminrat,0.00022608472499996424,0.04235882674823624
24,52,thetaminrat,7.482347427867353e-05,0.014018791334407683
24,53,alphaminrat,4.4546952267410234e-05,0.008346236718369532
24,54,betaminrat,9.408984624315053e-06,0.0017628504074224522
24,55,deltastdrat,7.237031240947545e-05,0.013559171346357816
24,56,thetastdrat,4.100301521248184e-05,0.007682251056727022
24,57,alphastdrat,1.360729947919026e-05,0.0025494391146968316
24,58,betastdrat,3.520983227645047e-06,0.0006596850739176908
24,59,deltapctrat,0.0003402936563361436,0.06375680635774413
24,60,thetapctrat,0.00012752001930493861,0.023891921069282722
24,61,alphapctrat,6.848655903013423e-05,0.012831518310406725
24,62,betapctrat,4.698726115748286e-05,0.008803448595407149
24,63,deltathetamean,3.917211870430037e-06,0.0007339217585606751
24,64,deltaalphamean,1.474914824939333e-06,0.00027633738430590685
24,65,thetaalphamean,2.8346021281322464e-05,0.005310859477381967
24,66,deltathetamin,3.294438647571951e-05,0.006172400895514549
24,67,deltaalphamin,1.0393079719506204e-05,0.0019472286914529085
24,68,thetaalphamin,6.34363605058752e-05,0.011885322213641141
24,69,deltathetastd,9.914094334817491e-06,0.0018574868527463364
24,70,deltaalphastd,4.3039449337811675e-06,0.000806379368548735
24,71,thetaalphastd,6.702412974846084e-06,0.0012557520194992422
24,72,deltathetapct,4.722223366115941e-06,0.0008847472620355476
24,73,deltaalphapct,5.372500709199812e-06,0.0010065820534572037
24,74,thetaalphapct,6.714239134453237e-06,0.0012579677474565225
24,75,meanlogentropy,8.129121124511585e-05,0.015230574879778722
24,76,xcorrmean,1.0242482417766041e-09,1.9190130523239737e-07
24,77,xcorrstd,3.0359939046320505e-05,0.005688183481437352
24,78,corrmean,4.3525164073798805e-05,0.008154796323329192
24,79,geomeanamp,1.1818571010735468e-07,2.2143061715272898e-05
24,80,harmmeanamp,1.5834810085380013e-07,2.966781488656264e-05
24,81,meanskewamp,3.136986561003141e-05,0.005877401502870152
24,82,stdskewamp,2.040913750533946e-05,0.003823819232678109
24,83,overallskewamp,3.3844906283775344e-05,0.006341120664321567
24,84,meaniqrchannelamp,1.8210329244539025e-07,3.4118544784389585e-05
24,85,overalliqramp,1.254723258625745e-07,2.350826891516831e-05
24,86,avgspectent,6.283532275119796e-05,0.011772712862790366
24,87,sdspectent,3.4105930808436824e-06,0.0006390025748984752
24,88,pctchangepoint,1.929918653331697e-05,0.0036158608183140054
24,89,pctpeakpoint,0.00014809001004323363,0.027745877473884583
24,90,avgspectkurt,7.527733396273106e-05,0.014103825667111962
24,91,sdspectkurt,0.00011568248010007665,0.021674061051078122
24,92,meanrms,2.420236455691338e-07,4.534511418956364e-05
24,93,sdrms,1.1009575473508448e-07,2.062734225207161e-05
36,0,SignalSD,6.79825475913276e-08,1.4146830883500874e-05
36,1,lv_l5,2.719094482017681e-05,0.005658300719267491
36,2,lv_l10,0.00010556493361946195,0.021967538964853903
