block_end_hr,feature,norm_importance
24,SIQ_delta,0.130611502691652
24,SIQ_theta,0.10380673108723623
24,deltapctrat,0.06375680635774413
24,BCI,0.05340785896991825
24,deltameanrat,0.05068099667019153
24,SIQ_alpha,0.04942195743943151
24,SIQ,0.048600187000481986
24,deltaminrat,0.04235882674823624
24,thetakurtosis,0.03566558954250025
24,SIQ_beta,0.03057580937871415
24,lv_l20,0.03055325642734893
24,pctpeakpoint,0.027745877473884583
24,thetapctrat,0.023891921069282722
24,lv_l10,0.023788955068163423
24,alphakurtosis,0.023274583101231025
36,SIQ_delta,0.1312152895519412
36,SIQ_theta,0.09719296937718667
36,deltapctrat,0.06463647067401294
36,BCI,0.05785946739895313
36,SIQ,0.051794238153755466
36,SIQ_alpha,0.05172219166271747
36,deltameanrat,0.050801121849626436
36,deltaminrat,0.043152065933232155
36,thetakurtosis,0.03840637883059371
36,SIQ_beta,0.029774678061230846
36,lv_l20,0.0294027719668785
36,pctpeakpoint,0.027826167508237604
36,thetapctrat,0.023498006052216438
36,alphakurtosis,0.02335060932427115
36,lv_l10,0.021967538964853903
48,SIQ_delta,0.13026312789922145
48,SIQ_theta,0.09372767212916466
48,deltapctrat,0.06358208082293734
48,BCI,0.058350166024900126
48,SIQ_alpha,0.05235411655674419
48,SIQ,0.052026069131319685
48,deltameanrat,0.04985372355467677
48,deltaminrat,0.04263685968067685
48,thetakurtosis,0.0400891964532205
48,lv_l20,0.030377821173652814
48,SIQ_beta,0.029457972616862282
48,pctpeakpoint,0.028335806114750704
48,alphakurtosis,0.023711979016790553
48,thetapctrat,0.023193701293311306
48,lv_l10,0.022450059016630632
60,SIQ_delta,0.1281074827262741
60,SIQ_theta,0.0929841483061207
60,deltapctrat,0.06213050920218195
60,BCI,0.05799217206542266
60,SIQ,0.051418680661367365
60,SIQ_alpha,0.0506653118232044
60,deltameanrat,0.04876458231119816
60,deltaminrat,0.04190666509322387
60,thetakurtosis,0.0401531012512894
60,lv_l20,0.03221794020013238
60,pctpeakpoint,0.02940926865069766
60,SIQ_beta,0.028527158045319304
60,lv_l10,0.024142652605224465
60,alphakurtosis,0.02393413094036173
60,thetapctrat,0.023055215666023553
72,SIQ_delta,0.12696531892366086
72,SIQ_theta,0.09486395703677736
72,deltapctrat,0.06110730487406043
72,BCI,0.05665922993161325
72,SIQ,0.05016410286814499
72,SIQ_alpha,0.04927463812901019
72,deltameanrat,0.047922916377941834
72,deltaminrat,0.041165451653219096
72,thetakurtosis,0.039040857136838775
72,lv_l20,0.03254685503681258
72,pctpeakpoint,0.029736753560061786
72,SIQ_beta,0.028274653828149737
72,lv_l10,0.024756830223124207
72,alphakurtosis,0.023721246079888875
72,thetapctrat,0.023331036302907726
84,SIQ_delta,0.12656725010855296
84,SIQ_theta,0.09613863381740217
84,deltapctrat,0.06032706691319049
84,BCI,0.055469451577422765
84,SIQ,0.04897953312557519
84,SIQ_alpha,0.04833324790872019
84,deltameanrat,0.04756671116626041
84,deltaminrat,0.04130839190182482
84,thetakurtosis,0.03743868493656876
84,lv_l20,0.033135994227519325
84,pctpeakpoint,0.030071649970145164
84,SIQ_beta,0.028356780429198918
84,lv_l10,0.025458750109034596
84,thetapctrat,0.02350157663272258
84,alphakurtosis,0.022702898221769633
96,SIQ_delta,0.12726945420633515
96,SIQ_theta,0.09755825276261222
96,deltapctrat,0.05977628607138719
96,BCI,0.05453240925821612
96,SIQ_alpha,0.04861491850581104
96,SIQ,0.04794007543032746
96,deltameanrat,0.047854478246837674
96,deltaminrat,0.043374165184482956
96,thetakurtosis,0.03547270332511492
96,lv_l20,0.03343201973652703
96,pctpeakpoint,0.02967793709978202
96,SIQ_beta,0.0292391354586865
96,lv_l10,0.026034782321186497
96,thetapctrat,0.023024934930058607
96,betakurtosis,0.02152254379544844
108,SIQ_delta,0.12787586354830113
108,SIQ_theta,0.09746159707766977
108,deltapctrat,0.059719247349595085
108,BCI,0.05426494207960694
108,SIQ_alpha,0.04948118339849108
108,deltameanrat,0.04911322675020243
108,SIQ,0.0469070474022211
108,deltaminrat,0.04642040304989344
108,lv_l20,0.0337023398743908
108,thetakurtosis,0.033655786198688344
108,SIQ_beta,0.02982647335195084
108,pctpeakpoint,0.02918873692959722
108,lv_l10,0.026583995815285952
108,thetapctrat,0.022293514534894525
108,betakurtosis,0.021044985651960977
120,SIQ_delta,0.12858418134120908
120,SIQ_theta,0.09804763877478047
120,deltapctrat,0.0600721343069159
120,BCI,0.05305809553227078
120,SIQ_alpha,0.050583970240983836
120,deltameanrat,0.05012247662003873
120,deltaminrat,0.04910064673086661
120,SIQ,0.04516746514897715
120,lv_l20,0.03346342630790739
120,thetakurtosis,0.03151679941810158
120,SIQ_beta,0.030783417823430345
120,pctpeakpoint,0.02848460519837703
120,lv_l10,0.026768650569322802
120,thetapctrat,0.02156496950659623
120,betakurtosis,0.020787780953476866
