block_end_hr,feature_index,feature,importance,norm_importance
24,0,SignalSD,1.4397703296253894e-07,3.9562386417239364e-05
24,1,lv_l5,1.5749317753943615e-05,0.004327638804388499
24,2,lv_l10,0.00010866281081689522,0.02985865191318342
24,3,lv_l20,0.0001512467279098928,0.04155997224551169
24,4,SIQ,0.00015889323549345136,0.043661099637418745
24,5,SIQ_delta,0.000378712109522894,0.10406350589076896
24,6,SIQ_theta,0.00014959716645535082,0.04110670142626545
24,7,SIQ_alpha,4.481543874135241e-05,0.012314503698689343
24,8,SIQ_beta,3.135003134957515e-05,0.008614443768730573
24,9,BCI,0.00013267305621411651,0.036456250063610404
24,10,BSAR,2.214027972513577e-06,0.000608376408270266
24,11,d0MaxAmp,1.3450114977331395e-07,3.6958578402427144e-05
24,12,d0MeanMaxAmp,5.6698439721003524e-08,1.5579745847940403e-05
24,13,d0VarMaxAmp,5.124611135443047e-08,1.408154077124485e-05
24,14,d0VarMeanAmp,9.396132760741693e-09,2.5818939830831592e-06
24,15,d0VarVarAmp,8.07751163733883e-08,2.2195598152747992e-05
24,16,d0MeanVarAmp,8.89513103174977e-08,2.4442274150879662e-05
24,17,d0MaxMaxFourAmp,1.3098744489070668e-07,3.599307336692598e-05
24,18,d0MeanMaxFourAmp,1.9409503693168517e-07,5.3333942884887896e-05
24,19,d0VarMaxFourAmp,1.3234218165791845e-08,3.636533148598319e-06
24,20,d1MaxAmp,1.9556743779958197e-07,5.373853305387664e-05
24,21,d1MeanMaxAmp,1.1492862483919453e-07,3.158038871014367e-05
24,22,d1VarMaxAmp,5.319168039363831e-08,1.4616149330309855e-05
24,23,d1VarMeanAmp,2.5328432684545987e-08,6.959813107620891e-06
24,24,d1VarVarAmp,6.386191842011613e-08,1.7548145297175437e-05
24,25,d1MeanVarAmp,2.254762243580899e-08,6.195694780205593e-06
24,26,d1MaxMaxFourAmp,2.464113357802944e-08,6.770955258026882e-06
24,27,d1MeanMaxFourAmp,6.946871877744343e-08,1.9088796592292852e-05
24,28,d1VarMaxFourAmp,2.8660235074084994e-08,7.875334499391204e-06
24,29,d2MaxAmp,6.510643402179994e-08,1.789011655552821e-05
24,30,d2MeanMaxAmp,3.503680545691168e-07,9.627505219340346e-05
24,31,d2VarMaxAmp,2.527949405362051e-08,6.946365622368795e-06
24,32,d2VarMeanAmp,1.9514153848376736e-08,5.362150332378435e-06
24,33,d2VarVarAmp,7.089143849725588e-08,1.9479735245218777e-05
24,34,d2MeanVarAmp,2.3801405291123956e-07,6.540212518796486e-05
24,35,d2MaxMaxFourAmp,3.968243333929422e-08,1.090404302298671e-05
24,36,d2MeanMaxFourAmp,2.3022066386602091e-07,6.326063732311183e-05
24,37,d2VarMaxFourAmp,1.381495629004803e-08,3.7961098922378683e-06
24,38,linelengthmean,1.6752100862049701e-07,4.603186174682591e-05
24,39,kurtavg,2.291737246196135e-06,0.000629729566134217
24,40,shanavg,6.54248850651129e-08,1.797762136772835e-05
24,41,nlemean,4.881465898165516e-08,1.3413419916497977e-05
24,42,nleavgstd,2.6017158205604574e-08,7.149062911140761e-06
24,43,deltakurtosis,0.00011563210864551365,0.031773693833962335
24,44,thetakurtosis,0.00017678216681815684,0.04857666706575711
24,45,alphakurtosis,0.00016085671086329967,0.04420062854494167
24,46,betakurtosis,8.777482435107231e-05,0.024118996253978627
24,47,deltameanrat,0.00020832453446928412,0.057243961507456115
24,48,thetameanrat,6.647796544712037e-05,0.018266989554751856
24,49,alphameanrat,5.968735786154866e-05,0.016401048607225004
24,50,betameanrat,3.211833245586604e-05,0.008825559560092807
24,51,deltaminrat,0.00016210602188948542,0.04454391750260576
24,52,thetaminrat,5.9043726650997996e-05,0.01622418993651864
24,53,alphaminrat,5.6111988669727e-05,0.015418599291243163
24,54,betaminrat,2.5663654014351778e-05,0.007051926103090997
